1713270342277 - supply_from_location, rti_index: 1
1713270342278 - lookup, rti_index: 0
1713270342278 - supply_from_location, rti_index: 1
1713270342278 - supply_from_location, rti_index: 2
1713270342278 - react, rti_index: 3
1713270342278 - consume, rti_index: 4
1713270342278 - supply_from_location, rti_index: 1
1713270342279 - supply_constant, rti_index: 2
1713270342279 - react, rti_index: 7
1713270342279 - consume, rti_index: 8
1713270342279 - sink, rti_index: 9
1713270342279 - react, rti_index: 1
1713270342279 - supply_from_location, rti_index: 1
1713270342279 - lookup, rti_index: 0
1713270342279 - supply_from_location, rti_index: 1
1713270342280 - supply_from_location, rti_index: 2
1713270342280 - react, rti_index: 3
1713270342280 - consume, rti_index: 4
1713270342280 - supply_from_location, rti_index: 1
1713270342280 - supply_constant, rti_index: 2
1713270342280 - react, rti_index: 7
1713270342280 - consume, rti_index: 8
1713270342280 - sink, rti_index: 9
1713270342280 - react, rti_index: 3
1713270342280 - consume, rti_index: 4
1713270342281 - supply_from_location, rti_index: 1
1713270342281 - consume, rti_index: 6
1713270342281 - supply_from_location, rti_index: 2
1713270342281 - react, rti_index: 8
1713270342281 - consume, rti_index: 9
1713270342281 - sink, rti_index: 10
1713270342281 - supply_from_location, rti_index: 1
1713270342281 - lookup, rti_index: 0
1713270342281 - supply_from_location, rti_index: 1
1713270342282 - supply_from_location, rti_index: 2
1713270342282 - react, rti_index: 3
1713270342282 - consume, rti_index: 4
1713270342282 - supply_from_location, rti_index: 1
1713270342282 - supply_constant, rti_index: 2
1713270342282 - react, rti_index: 7
1713270342282 - consume, rti_index: 8
1713270342282 - sink, rti_index: 9
1713270342282 - react, rti_index: 1
1713270342282 - supply_from_location, rti_index: 1
1713270342283 - lookup, rti_index: 0
1713270342283 - supply_from_location, rti_index: 1
1713270342283 - supply_from_location, rti_index: 2
1713270342283 - react, rti_index: 3
1713270342283 - consume, rti_index: 4
1713270342283 - supply_from_location, rti_index: 1
1713270342283 - supply_constant, rti_index: 2
1713270342283 - react, rti_index: 7
1713270342283 - consume, rti_index: 8
1713270342283 - sink, rti_index: 9
1713270342284 - react, rti_index: 3
1713270342284 - consume, rti_index: 4
1713270342284 - supply_from_location, rti_index: 1
1713270342284 - consume, rti_index: 6
1713270342284 - supply_from_location, rti_index: 2
1713270342284 - react, rti_index: 8
1713270342284 - consume, rti_index: 9
1713270342284 - sink, rti_index: 10
1713270342284 - supply_from_location, rti_index: 1
1713270342284 - lookup, rti_index: 0
1713270342285 - supply_from_location, rti_index: 1
1713270342285 - supply_from_location, rti_index: 2
1713270342285 - react, rti_index: 3
1713270342285 - consume, rti_index: 4
1713270342285 - supply_from_location, rti_index: 1
1713270342285 - supply_constant, rti_index: 2
1713270342285 - react, rti_index: 7
1713270342285 - consume, rti_index: 8
1713270342285 - sink, rti_index: 9
1713270342285 - react, rti_index: 1
1713270342285 - supply_from_location, rti_index: 1
1713270342286 - lookup, rti_index: 0
1713270342286 - supply_from_location, rti_index: 1
1713270342286 - supply_from_location, rti_index: 2
1713270342286 - react, rti_index: 3
1713270342286 - consume, rti_index: 4
1713270342286 - supply_from_location, rti_index: 1
1713270342286 - supply_constant, rti_index: 2
1713270342286 - react, rti_index: 7
1713270342286 - consume, rti_index: 8
1713270342286 - sink, rti_index: 9
1713270342286 - react, rti_index: 3
1713270342286 - consume, rti_index: 4
1713270342287 - supply_from_location, rti_index: 1
1713270342287 - consume, rti_index: 6
1713270342287 - supply_from_location, rti_index: 2
1713270342287 - react, rti_index: 8
1713270342287 - consume, rti_index: 9
1713270342287 - sink, rti_index: 10
1713270342287 - supply_from_location, rti_index: 1
1713270342287 - lookup, rti_index: 0
