itt,dur,rslc,rt,mt
50,1297.3,29419,1261902,33.25386047363281
49,150.0,20323,1282225,33.310035705566406
48,48.39,15553,1297778,33.30604553222656
47,363.64,15622,1313400,33.33369445800781
46,800.0,15483,1328883,33.3184814453125
45,333.33,16117,1345000,33.30754852294922
44,200.0,13301,1358301,33.37324523925781
43,96.77,17439,1375740,33.44139862060547
42,162.16,15469,1391209,33.42559051513672
41,3096.77,15011,1406220,33.48175811767578
40,1333.33,13355,1419575,33.37727355957031
39,2594.59,15502,1435077,33.46205139160156
38,45.45,17192,1452269,33.46797180175781
37,90.91,13284,1465553,33.37107849121094
36,96.77,15466,1481019,33.463157653808594
35,96.77,17149,1498168,33.50611114501953
34,1.5e3,15446,1513614,33.36205291748047
33,2.4e3,15415,1529029,33.44175720214844
32,3096.77,15024,1544053,33.484405517578125
31,171.43,14005,1558058,33.337371826171875
30,90.91,15389,1573447,33.39054870605469
29,166.67,17154,1590601,33.449981689453125
28,375.0,13357,1603958,33.333839416503906
27,1548.39,15453,1619411,33.299522399902344
26,83.33,15447,1634858,33.31333923339844
25,1.5e3,15479,1650337,33.314605712890625
24,648.65,17375,1667712,33.339637756347656
23,342.86,15572,1683284,33.324607849121094
22,1548.39,13334,1696618,33.35699462890625
21,50.0,15306,1711924,33.44624328613281
20,176.47,17177,1729101,33.514732360839844
19,387.1,15488,1744589,33.35334014892578
18,2666.67,13230,1757819,33.440460205078125
17,45.45,17170,1774989,33.49998474121094
16,363.64,13636,1788625,33.382972717285156
15,181.82,15302,1803927,33.437416076660156
14,375.0,15164,1819091,33.44084167480469
13,1297.3,17062,1836153,33.50093078613281
12,1454.55,14153,1850306,33.36205291748047
11,342.86,17556,1867862,33.43229675292969
10,48.39,15027,1882889,33.480926513671875
9,46.88,13346,1896235,33.38175964355469
8,181.82,16927,1913162,33.411155700683594
7,3.2e3,13916,1927078,33.44026184082031
6,41.67,17130,1944208,33.47563934326172
5,85.71,13343,1957551,33.36895751953125
4,2666.67,15620,1973171,33.393402099609375
3,375.0,17235,1990406,33.487823486328125
2,88.24,13480,2003886,33.38285827636719
1,2742.86,17104,2020990,33.45930480957031
